url,domain,title,language_detected,kurdish_dialect_group,status_code,source,category,notes,checked_at
https://kurdcinama.com,kurdcinama.com,کوردسینەما | Kurd Cinema,CKB (Central Kurdish / Sorani) / KMR (Northern Kurdish / Kurmanji),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:36
https://kurdi.krd,kurdi.krd,پرۆژە زانستیەکانی زمان، ئەدەب و کولتووری کورد,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,SSL warning,2026-02-12 14:58:38
https://kurdicenter.com,kurdicenter.com,خانه - کوردی سنتر,CKB (Central Kurdish / Sorani) / Persian / HAW (Hawrami / Gorani),CKB (Sorani),200,variation,General,,2026-02-12 15:16:22
https://kurdishradio.net,kurdishradio.net,Kurdish Radio - ڕادیۆی کوردی,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,TV & Radio,,2026-02-12 15:06:08
https://kurdistan24.net/,kurdistan24.net,Kurdistan24 - کوردستان 24,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Kurdistan 24 news network,2026-02-12T14:52:50Z
https://kurdistanmedia.com,kurdistanmedia.com,ماڵپەڕی ناوەندیی حیزبی دێموکراتی کوردستانی ئێران,KMR (Northern Kurdish / Kurmanji) / CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:42
https://kurdistannet.net,kurdistannet.net,کوردستان نێت,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,General,,2026-02-12 15:16:25
https://kurdistannet.nl,kurdistannet.nl,کوردستان نێت,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,,2026-02-12 15:06:12
https://kurdistannet.org,kurdistannet.org,کوردستان نێت,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:43
https://kurdistantimes.org,kurdistantimes.org,کوردستان تایمز | کوردستان تایمز - Kurrdistan Times,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,General,,2026-02-12 15:06:13
https://kurdistantv.net/,kurdistantv.net,ده‌زگای سه‌ته‌لایتی كوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,tv_channels,TV & Radio,Kurdistan TV,2026-02-12T14:53:02Z
https://kurdistanukurd.com,kurdistanukurd.com,کوردستان و کورد – ماڵپەڕی ناوەندیی حیزبی دێموکراتی کوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:43
https://kurdistanukurd.org,kurdistanukurd.org,کوردستان و کورد – ماڵپەڕی ناوەندیی حیزبی دێموکراتی کوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,,2026-02-12 15:06:13
https://kurdit.net,kurdit.net,,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,SSL warning,2026-02-12 15:06:14
https://kurditgroup.org/,kurditgroup.org,Kurditgroup,CKB (Central Kurdish / Sorani) / English,CKB (Sorani),200,cultural,Culture & Reference,Kurdit Group,2026-02-12T14:53:18Z
https://kurditv.com/,kurditv.com,kurdi TV ZINDÎ پەخشی ڕاستەوخۆ,KMR (Northern Kurdish / Kurmanji) / English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,tv_channels,TV & Radio,Kurdi TV,2026-02-12T14:53:05Z
https://kurdmedia.net,kurdmedia.net,kurdmedia - kurdmedia,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:43
https://kurdpa.net/,kurdpa.net,ئاژانسی هەواڵدەریی کوردستان، کوردپا,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Kurdpa news agency,2026-02-12T14:52:51Z
https://kurdpress.net,kurdpress.net,kurdpress - kurdpress,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:44
https://kurdshopping.com/,kurdshopping.com,Trusted Platform to Buy & Sell Cars in Iraq | Kurd Shopping,CKB (Central Kurdish / Sorani) / English,CKB (Sorani),200,ecommerce,E-Commerce,Kurd Shopping,2026-02-12T14:53:22Z
https://kurdsoft.net,kurdsoft.net,Kurdsoft,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,,2026-02-12 15:16:28
https://kurdtimes.net,kurdtimes.net,kurdtimes - Kurdtimes,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,General,,2026-02-12 15:16:28
https://kurdtvs.net/,kurdtvs.net,Kurdtvs.net - Live Kurdish TV Zindi پەخشی ڕاستەوخۆ - Watch Live Kurdish TV Channels Online,CKB (Central Kurdish / Sorani) / English / KMR (Northern Kurdish / Kurmanji),CKB (Sorani),200,tv_channels,TV & Radio,Kurd TVs directory,2026-02-12T14:53:05Z
https://kurdwomen.org,kurdwomen.org,یەکیەتیی ژنانی دێموکراتی کوردستان – ئازادی بۆ ژن، بەختیاری بۆ کۆمەڵ.,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,General,,2026-02-12 15:06:18
https://lalish.krd,lalish.krd,LALISH,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,Religious,,2026-02-12 15:16:29
https://lfu.edu.krd/,lfu.edu.krd,home - LFU,CKB (Central Kurdish / Sorani),CKB (Sorani),200,universities,Education,Lebanese French University,2026-02-12T14:53:15Z
https://main.soran.edu.iq/,main.soran.edu.iq,Soran University,English / CKB (Central Kurdish / Sorani) / KMR (Northern Kurdish / Kurmanji),CKB (Sorani),200,universities,Education,Soran University,2026-02-12T14:53:15Z
https://mybestshopping.net/,mybestshopping.net,"Best Shopping in Kurdistan Region, Kirkuk and Mosul",CKB (Central Kurdish / Sorani),CKB (Sorani),200,ecommerce,E-Commerce,My Best Shopping,2026-02-12T14:53:22Z
https://nrttv.com/,nrttv.com,NRTTV ئێن ئاڕ تی,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,NRT TV news,2026-02-12T14:52:50Z
https://peyam.net,peyam.net,Payam TV : کەناڵی ئاسمانی پەیام,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:50
https://presidency.gov.krd,presidency.gov.krd,سەرەکی - سەرۆکایەتی هەرێمی کوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Government,,2026-02-12 15:06:31
https://president.gov.krd,president.gov.krd,سەرەکی - سەرۆکایەتی هەرێمی کوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:50
https://pukmedia.com/,pukmedia.com,PUKmedia   یەکێتیی نیشتمانیی کوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,PUK-affiliated media,2026-02-12T14:52:50Z
https://pukmedia.net,pukmedia.net,PUKMEDIA |  بڵاوکراوه‌ی یه‌کێتی کورد,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,News & Media,,2026-02-12 15:16:42
https://regaykurdistan.com,regaykurdistan.com,Home,CKB (Central Kurdish / Sorani) / Arabic,CKB (Sorani),200,discovered,General,,2026-02-12 14:58:50
https://rojhelat.media,rojhelat.media,تێلویزیۆنی ڕۆژهەلات,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:51
https://rojhelatnews.net,rojhelatnews.net,Rojehlatnews - Rojehlatnews.net,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,News & Media,,2026-02-12 15:06:34
https://rojnews.news/,rojnews.news,پەڕەی سەرەکی - کوردی - RojNews.News,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Roj News,2026-02-12T14:52:59Z
https://rudaw24.net,rudaw24.net,Rudaw24 | ڕووداو24 - Kurdish News Network,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,News & Media,,2026-02-12 15:06:38
https://runaki.gov.krd,runaki.gov.krd,پڕۆژەی ڕووناکی,CKB (Central Kurdish / Sorani) / KMR (Northern Kurdish / Kurmanji),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:52
https://sardam.krd,sardam.krd,Homepage - پەیمانگەی سەردەمی ناحکومی بۆ زانستەکانی کۆمپیوتەر,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:53
https://sardam.org,sardam.org,سه‌رده‌م – ‎دەزگای چاپ و پەخشی سەردەم,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:53
https://services.gov.krd,services.gov.krd,بابەتەکان | خزمەت,KMR (Northern Kurdish / Kurmanji) / CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:54
https://sharpress.net/,sharpress.net,SHARPRESS,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Sharpress news,2026-02-12T14:52:50Z
https://shayan.tiu.edu.iq,shayan.tiu.edu.iq,Handmade Home - Shayan,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Education,,2026-02-12 15:06:40
https://slemanipress.net,slemanipress.net,home - Slemani press,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,News & Media,,2026-02-12 15:06:42
https://sorani.anf-news.com,sorani.anf-news.com,"ANF |
        Articles",CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:54
https://speemedia.com/,speemedia.com,سپی میدیا,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Spee Media,2026-02-12T14:53:00Z
https://sulicihan.edu.krd,sulicihan.edu.krd,Cihan University of Sulaimaniya,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Education,,2026-02-12 15:16:57
https://vac.health.digital.gov.krd,vac.health.digital.gov.krd,Vaccine pre-registration,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:59
https://xelk.org/,xelk.org,Home - تۆڕی میدیایی خەڵک,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Xelk media,2026-02-12T14:53:00Z
https://zagros.org,zagros.org,پێگه‌ی زاگرۆس,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,General,,2026-02-12 15:17:06
