url,domain,title,language,status_code,source,category,notes,checked_at
https://farukmedicalcity.com/,farukmedicalcity.com,Faruk Medical City - Excellence in Human Care,EN,200,health,health,Faruk Medical City,2026-02-12T14:53:28Z
https://fek-online.com/,fek-online.com,,UNK,,diaspora,diaspora,FEK Online,2026-02-12T14:53:23Z
https://ferheng.com/,ferheng.com,,UNK,200,cultural,cultural,Ferheng Kurdish dictionary (com),2026-02-12T14:53:16Z
https://ferheng.org/,ferheng.org,FerhengUi,EN,200,cultural,cultural,Ferheng Kurdish dictionary (org),2026-02-12T14:53:16Z
https://files-thekurdistani-com.cdn.ampproject.org,files-thekurdistani-com.cdn.ampproject.org,,UNK,404,crawl,general,,2026-02-12 15:15:59
https://files.thekurdistani.com,files.thekurdistani.com,PM77TOTO # Link Deposit Pulsa Dengan Pelayanan Terbaik,EN,200,crawl,general,,2026-02-12 15:05:52
https://firatajans.com/,firatajans.com,,UNK,,known_media,news_media,Firat News Agency,2026-02-12T14:52:50Z
https://firatnews.com/,firatnews.com,,UNK,,known_media,news_media,Firat News,2026-02-12T14:52:50Z
https://france24.com/ku,france24.com,,UNK,,known_media,news_media,France 24 Kurdish,2026-02-12T14:52:51Z
https://gali.io,gali.io,,UNK,200,variation,general,,2026-02-12 15:15:59
https://galicenter.com,galicenter.com,GALI - Global Academy of Language Immersion,EN,200,variation,general,,2026-02-12 15:15:59
https://galifood.com,galifood.com,,UNK,200,variation,food,,2026-02-12 15:15:59
https://galigroup.com,galigroup.com,Galigroup Trasporti e Logistica,EN/TR,200,variation,general,,2026-02-12 15:15:59
https://galihealth.com,galihealth.com,GaliHealth.com,EN,200,variation,health,SSL warning,2026-02-12 15:15:59
https://galimarket.com,galimarket.com,galimarket.com for sale | Spaceship.com,EN,200,variation,ecommerce,,2026-02-12 15:15:59
https://galimedia.com,galimedia.com,,UNK,200,variation,news_media,,2026-02-12 15:16:00
https://galimusic.org,galimusic.org,,UNK,200,variation,culture_arts,,2026-02-12 15:16:00
https://galinet.com,galinet.com,,UNK,200,variation,general,,2026-02-12 15:16:00
https://galinet.net,galinet.net,,UNK,200,variation,general,SSL warning,2026-02-12 15:16:01
https://galinews.com,galinews.com,GaliNews.com is for sale | HugeDomains,EN,200,variation,news_media,,2026-02-12 15:16:01
https://galishop.com,galishop.com,GaliShop.com is for sale | HugeDomains,EN,200,variation,ecommerce,,2026-02-12 15:16:01
https://galistore.net,galistore.net,GALI STORE,TR/EN,200,variation,ecommerce,,2026-02-12 15:16:01
https://galitech.com,galitech.com,GaliTech.com is for sale | HugeDomains,EN,200,variation,technology,,2026-02-12 15:16:02
https://galitech.net,galitech.net,Galitech - Servicios Infórmaticos,EN,200,variation,technology,,2026-02-12 15:16:02
https://galitravel.com,galitravel.com,GaliTravel.com is for sale | HugeDomains,EN,200,variation,tourism,SSL warning,2026-02-12 15:16:02
https://galitv.com,galitv.com,,UNK,403,discovered,discovered,SSL warning,2026-02-12 14:58:27
https://garmian.edu.krd/,garmian.edu.krd,,UNK,503,universities,education,University of Garmian,2026-02-12T14:53:15Z
https://gelawej.net/,gelawej.net,,UNK,,known_media,news_media,Gelawej news,2026-02-12T14:52:50Z
https://genç.com,genç.com,genÃ§.com for sale | Spaceship.com,EN,200,variation,general,,2026-02-12 15:16:03
https://github.com/sinaahmadi/awesome-kurdish,github.com,GitHub - sinaahmadi/awesome-kurdish: A curated list of awesome resources and tools for Kurdish language and speech technologies,"EN, KMR, HAW",200,tech,technology,Awesome Kurdish GitHub repo,2026-02-12T14:53:29Z
https://gksat.tv/,gksat.tv,GK Sat : کەناڵی ئاسمانی گەلی کوردستان,CKB,200,tv_channels,tv_channels,GK Sat TV,2026-02-12T14:53:04Z
https://gorani.me,gorani.me,Welcome to nginx!,HAW,200,discovered,discovered,,2026-02-12 14:58:27
https://gorani.net,gorani.net,Website Builder – CloudyHost®,UNK,200,discovered,discovered,,2026-02-12 14:58:34
https://gorani.org,gorani.org,Gorani Ensemble,HAW,200,discovered,discovered,,2026-02-12 14:58:34
https://gorannews.net/,gorannews.net,,UNK,,political_parties,political_parties,Gorran Movement news,2026-02-12T14:53:09Z
https://gorran.com,gorran.com,Gorran.com - Business Domain for Sale,EN,200,variation,political,,2026-02-12 15:16:03
https://gorran.net/,gorran.net,Gorran,CKB,200,political_parties,political_parties,Gorran Movement,2026-02-12T14:53:09Z
https://gorran.org,gorran.org,Parked Domain name on Hostinger DNS system,EN,200,variation,political,,2026-02-12 15:16:03
https://gorranmusic.com,gorranmusic.com,Gorran,EN,200,variation,political,,2026-02-12 15:16:03
https://gov.krd/,gov.krd,حکومەتی هەرێمی كوردستان,CKB,200,government,government,KRG official portal,2026-02-12T14:53:07Z
https://gulan-media.com/,gulan-media.com,ดูบอลสด888 – ศูนย์รวมความมันส์ ครบทุกลีก ถ่ายทอดชัด รวดเร็วทันใจ สุดคุ้มทุกแมตช์,EN,200,known_media,news_media,Gulan Media,2026-02-12T14:52:50Z
https://gulan.net,gulan.net,,UNK,200,variation,general,,2026-02-12 15:16:04
https://gulan.online,gulan.online,,UNK,200,variation,general,,2026-02-12 15:16:04
https://gulan.org,gulan.org,,UNK,200,variation,general,,2026-02-12 15:16:04
https://gulanfood.com,gulanfood.com,è°·å°é£å,EN/KMR,200,variation,food,,2026-02-12 15:16:04
https://gulanmedia.com,gulanmedia.com,,UNK,403,variation,news_media,,2026-02-12 15:16:05
https://gulistan.com,gulistan.com,,UNK,403,variation,general,,2026-02-12 15:16:05
https://gulistanradio.com,gulistanradio.com,gulistanradio.com,EN,200,variation,tv_radio,,2026-02-12 15:16:05
https://gund.com,gund.com,"GUND: Official Home of Huggable Teddy Bears & Stuffed Toys Since 1898
 – Gund",EN,200,variation,general,,2026-02-12 15:16:05
https://gundgroup.org,gundgroup.org,,UNK,200,variation,general,,2026-02-12 15:16:05
https://gundmedia.com,gundmedia.com,,UNK,404,variation,news_media,,2026-02-12 15:16:05
https://gurpinar.com,gurpinar.com,Gurpinar.com is for sale | HugeDomains,EN,200,variation,general,,2026-02-12 15:16:06
https://gurpinar.net,gurpinar.net,Onur Gürpınar – Projects Manager,EN,200,variation,general,,2026-02-12 15:16:06
https://hajj.digital.gov.krd,hajj.digital.gov.krd,دەروازەی حەج,CKB,200,crawl,government,,2026-02-12 15:16:06
https://hakkari.com,hakkari.com,,UNK,200,variation,general,,2026-02-12 15:05:53
https://halabjah.com,halabjah.com,,UNK,200,variation,general,,2026-02-12 15:16:07
https://halabjamemorial.org,halabjamemorial.org,Halabja Memorial – In Memory of a Tragedy,EN,200,crawl,general,,2026-02-12 15:16:07
https://halabjauni.edu.krd/,halabjauni.edu.krd,,UNK,,universities,education,University of Halabja,2026-02-12T14:53:15Z
https://hani.info,hani.info,,UNK,200,variation,general,,2026-02-12 15:16:07
https://hani.net,hani.net,الرئيسية - هاني سندي,AR,200,variation,general,,2026-02-12 15:16:07
https://haninews.com,haninews.com,,UNK,200,variation,news_media,,2026-02-12 15:16:07
https://hanionline.com,hanionline.com,Hani Online,EN,200,variation,general,,2026-02-12 15:16:07
https://harikar.org/,harikar.org,Harikar NGO - Home Page,EN,200,ngo,ngo,Harikar NGO,2026-02-12T14:53:27Z
https://harir.net,harir.net,,UNK,200,variation,general,,2026-02-12 15:16:07
https://harsin.net,harsin.net,Index of /,UNK,200,variation,general,,2026-02-12 15:16:07
https://hasaka.com,hasaka.com,,UNK,200,variation,general,,2026-02-12 15:05:53
https://havin.com,havin.com,,UNK,200,variation,general,,2026-02-12 15:16:07
https://havin.fm/,havin.fm,,UNK,,radio_stations,radio,Havin FM,2026-02-12T14:53:07Z
https://havin.org,havin.org,صفحه اصلی هاوین - هاوین,FA,200,variation,general,,2026-02-12 15:16:08
https://havin.xyz,havin.xyz,The havin,EN,200,variation,general,,2026-02-12 15:16:08
https://havingroup.com,havingroup.com,,UNK,200,variation,general,,2026-02-12 15:16:08
https://havinmag.com,havinmag.com,صفحه خانه - هاوین مگ,FA,200,variation,general,,2026-02-12 15:16:08
https://hawar.net,hawar.net,پەڕەی سەرەکی - هەوار - Hawar,KMR/CKB,200,discovered,discovered,,2026-02-12 14:58:35
https://hawar.news/,hawar.news,,UNK,,known_media,news_media,Hawar News Agency,2026-02-12T14:52:50Z
https://hawar.org,hawar.org,,UNK,200,discovered,discovered,SSL warning,2026-02-12 14:58:35
https://hawarcenter.com,hawarcenter.com,,EN,200,variation,news_media,SSL warning,2026-02-12 15:16:09
https://hawarnet.com,hawarnet.com,,UNK,200,variation,news_media,,2026-02-12 15:05:53
https://hawarnews.com/,hawarnews.com,Just a moment...,EN,403,known_media,news_media,ANHA news agency,2026-02-12T14:52:50Z
https://hawija.com,hawija.com,,UNK,200,variation,general,,2026-02-12 15:16:09
https://hawlati.co/,hawlati.co,هاوڵاتی - سەرەکی,CKB,200,known_media,news_media,Hawlati newspaper,2026-02-12T14:52:50Z
https://hawler.com,hawler.com,,UNK,200,variation,general,,2026-02-12 15:05:53
https://hawler.info/,hawler.info,,UNK,200,ecommerce,ecommerce,Hawler city info,2026-02-12T14:53:23Z
https://hawler.net,hawler.net,,UNK,200,variation,general,,2026-02-12 15:05:54
https://hawlergov.org/,hawlergov.org,Just a moment...,EN,403,government,government,Hawler Governorate,2026-02-12T14:53:08Z
https://hawpshti.com/,hawpshti.com,index - Hawpshti,CKB,200,blogs,blogs,Hawpshti,2026-02-12T14:53:32Z
https://hawpshti.org,hawpshti.org,,UNK,200,variation,general,,2026-02-12 15:16:09
https://hawramani.com/,hawramani.com,Ikram Hawramani's Website,"AR, FA",200,religious,religious,Hawramani Islamic studies,2026-02-12T14:53:21Z
https://hawrami.net,hawrami.net,Coming Soon,HAW,200,discovered,discovered,,2026-02-12 14:58:35
https://hazronews.com,hazronews.com,,UNK,200,variation,news_media,,2026-02-12 15:16:10
https://health.gov.krd/,health.gov.krd,,UNK,,government,government,Ministry of Health,2026-02-12T14:53:08Z
https://hevallo.com/,hevallo.com,,UNK,,blogs,blogs,Hevallo blog,2026-02-12T14:53:31Z
https://hewal.com,hewal.com,,UNK,200,variation,general,,2026-02-12 15:16:10
https://hewal.org,hewal.org,Kaliteli IRC Sohbet – Hewal.org | Bedava Sohbet Odaları & Mobil Chat,TR,200,variation,general,,2026-02-12 15:16:10
https://hewaltech.com,hewaltech.com,HeWalTech - HeWalTech,TR,200,variation,technology,,2026-02-12 15:16:11
https://hewler.com,hewler.com,Unlocking the Power of Hewler: A Guide to [Topic],EN,200,discovered,discovered,SSL warning,2026-02-12 14:58:35
https://hfrk.com,hfrk.com,,UNK,200,discovered,discovered,,2026-02-12 14:58:35
https://hfrk.net,hfrk.net,Home - Hengfeng Ruike Custom Embedded Designs & Manufacturing Solutions,EN,200,discovered,discovered,,2026-02-12 14:58:35
https://hih-iq.com/,hih-iq.com,HIH | Health International Hospital – نەخۆشخانەی هێڵس ئینتەرناشناڵ,EN,200,health,health,HIH Iraq hospital,2026-02-12T14:53:28Z
https://hmu.edu.krd/,hmu.edu.krd,Hawler Medical University - Hawler Medical University,EN,200,universities,education,Hawler Medical University,2026-02-12T14:53:14Z
https://hozat.com,hozat.com,,UNK,200,variation,general,,2026-02-12 15:16:11
https://hpg-online.com/,hpg-online.com,,UNK,,political_parties,political_parties,HPG online,2026-02-12T14:53:13Z
https://huj.uoh.edu.iq,huj.uoh.edu.iq,Halabja University Journal,EN,200,crawl,education,,2026-02-12 15:16:12
https://icpahd.epu.edu.iq,icpahd.epu.edu.iq,ICPAHD 2025 | EPU – International Conference on Pharmaceutical and applied Healthcare Development,EN,200,crawl,education,,2026-02-12 15:05:54
https://identity.lfu.edu.krd,identity.lfu.edu.krd,- LFU,UNK,200,discovered,discovered,,2026-02-12 14:58:35
https://idil.org,idil.org,,UNK,200,variation,general,,2026-02-12 15:16:12
https://idilnews.com,idilnews.com,Idil News – idilnews.com,EN,200,variation,news_media,,2026-02-12 15:16:12
https://idilonline.com,idilonline.com,İdilonline – Blog,TR,200,variation,general,,2026-02-12 15:16:12
https://ijsses.tiu.edu.iq,ijsses.tiu.edu.iq,International Journal of Social Sciences & Educational Studies,EN,200,crawl,education,,2026-02-12 15:05:55
https://ilam.com,ilam.com,,UNK,403,variation,general,,2026-02-12 15:05:55
https://ilam.net,ilam.net,,UNK,200,variation,general,,2026-02-12 15:05:55
https://ilam.org,ilam.org,Bienvenido al ILAM - ILAM,TR,200,variation,general,,2026-02-12 15:05:56
https://ilampress.com,ilampress.com,,UNK,200,variation,news_media,,2026-02-12 15:05:56
https://ilamtv.com,ilamtv.com,ilamtv,TR,200,variation,tv_radio,,2026-02-12 15:05:57
https://inet.tiu.edu.iq,inet.tiu.edu.iq,,UNK,500,crawl,education,,2026-02-12 15:16:13
https://inkdrop.net/news/kurdistan,inkdrop.net,,UNK,503,known_media,news_media,Inkdrop Kurdistan news,2026-02-12T14:52:51Z
https://institutkurde.org/,institutkurde.org,Fondation Institut kurde de Paris,KMR,200,cultural,cultural,Institut Kurde de Paris,2026-02-12T14:53:15Z
https://irbil.com,irbil.com,,UNK,200,variation,general,SSL warning,2026-02-12 15:16:13
https://irbil.net,irbil.net,,UNK,200,variation,general,,2026-02-12 15:16:13
https://irbil.org,irbil.org,irbil.org - This website is for sale! - irbil Resources and Information.,EN,200,variation,general,,2026-02-12 15:16:13
https://iro.tiu.edu.iq,iro.tiu.edu.iq,Home - IRO,EN,200,crawl,education,,2026-02-12 15:05:58
https://ishik.edu.iq/,ishik.edu.iq,,UNK,,universities,education,Ishik University,2026-02-12T14:53:15Z
https://islamkurd.com/,islamkurd.com,,UNK,200,religious,religious,Islam Kurd,2026-02-12T14:53:21Z
https://jin.io,jin.io,,UNK,200,variation,general,,2026-02-12 15:05:58
https://jin.tv,jin.tv,,UNK,200,variation,tv_radio,,2026-02-12 15:05:58
https://jinblog.org,jinblog.org,jin blog,EN,200,variation,blogs,,2026-02-12 15:05:58
https://jindev.com,jindev.com,,UNK,200,variation,technology,,2026-02-12 15:16:13
https://jindev.net,jindev.net,,UNK,403,variation,technology,,2026-02-12 15:16:14
https://jinfilm.com,jinfilm.com,AG真人国际·(中国区)官方网站-旗舰厅入口,KMR,200,variation,culture_arts,SSL warning,2026-02-12 15:16:14
https://jinfm.com,jinfm.com,JinFm.com is for sale | HugeDomains,EN,200,variation,tv_radio,,2026-02-12 15:05:59
https://jinfm.net,jinfm.net,ä¸å»é¯¨é¸,UNK,200,variation,tv_radio,,2026-02-12 15:05:59
https://jinhaagency.com/,jinhaagency.com,,UNK,,blogs,blogs,Jinha Agency,2026-02-12T14:53:31Z
https://jinhealth.com,jinhealth.com,JinHealth.com is for sale | HugeDomains,EN,200,variation,health,SSL warning,2026-02-12 15:16:14
https://jinlife.com/,jinlife.com,,UNK,,blogs,blogs,Jin Life,2026-02-12T14:53:31Z
https://jinmag.com,jinmag.com,jinmag.com —  Domain default page,EN,200,variation,general,,2026-02-12 15:05:59
https://jinmagazine.com,jinmagazine.com,JinMagazine.com is for sale | HugeDomains,EN,200,variation,general,,2026-02-12 15:05:59
https://jinmarket.com,jinmarket.com,진마켓,EN/TR/KMR,200,variation,ecommerce,,2026-02-12 15:16:14
https://jinmedia.com,jinmedia.com,,UNK,200,discovered,discovered,,2026-02-12 14:58:35
https://jinmusic.com,jinmusic.com,,UNK,200,variation,culture_arts,,2026-02-12 15:16:14
https://jinnet.com,jinnet.com,金网JinNet-外汇黄金新闻|实时行情与交易知识学习平台,KMR,200,variation,general,,2026-02-12 15:05:59
https://jinnews.com.tr/,jinnews.com.tr,,UNK,,blogs,blogs,JinNews Turkey,2026-02-12T14:53:31Z
https://jinnews.net,jinnews.net,JINNEWS,TR/KMR,200,discovered,discovered,,2026-02-12 14:58:35
https://jinonline.com,jinonline.com,,UNK,200,variation,general,,2026-02-12 15:05:59
https://jinpost.com,jinpost.com,JinPost.com is for sale | HugeDomains,EN,200,variation,general,,2026-02-12 15:05:59
https://jinshop.com,jinshop.com,jinshop.com - This website is for sale! - jinshop Resources and Information.,EN,200,variation,ecommerce,,2026-02-12 15:16:14
https://jinsport.com,jinsport.com,JinSport.com is for sale | HugeDomains,EN,200,variation,sports,,2026-02-12 15:16:15
https://jinstore.com,jinstore.com,JinStore.com is for sale | HugeDomains,EN,200,variation,ecommerce,SSL warning,2026-02-12 15:16:15
https://jintech.com,jintech.com,Jin Technologies Private Limited – Jintech,EN,200,variation,technology,,2026-02-12 15:16:15
https://jintravel.com,jintravel.com,,KMR,200,variation,tourism,SSL warning,2026-02-12 15:16:15
https://jintv.net,jintv.net,/ku/,EN,200,variation,tv_radio,,2026-02-12 15:06:00
https://jintv.org/,jintv.org,,UNK,,tv_channels,tv_channels,Jin TV,2026-02-12T14:53:06Z
https://jinweb.com,jinweb.com,JinWeb.com is for sale | HugeDomains,EN,200,variation,general,,2026-02-12 15:06:00
https://jiyan.com,jiyan.com,,UNK,200,variation,general,,2026-02-12 15:06:00
https://jiyan.info,jiyan.info,Hosted By One.com | Webhosting made simple,TR/KMR,200,variation,general,,2026-02-12 15:06:01
https://jiyan.news,jiyan.news,Jiyan News - Hakikatin Peşinde,TR,200,variation,news_media,,2026-02-12 15:16:15
https://jiyan.org,jiyan.org,Home - Jiyan Foundation For Human Rights,EN,200,variation,general,,2026-02-12 15:06:01
https://jiyanblog.com,jiyanblog.com,基岩博客是一个专注于知识分享、生活感悟与文化探索的综合平台,KMR,200,variation,blogs,,2026-02-12 15:06:01
